City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,magomeni,-6.8,39.25,25.79,76,5,4.49,TZ,1696007546
236,porto novo,6.4965,2.6036,24.9,83,100,1.8,BJ,1696007547
237,santiago del torno,-17.9833,-63.3833,29.1,28,42,3.27,BO,1696007547
238,smithers,54.7804,-127.1743,8.76,71,47,0.43,CA,1696007395
239,sungai raya,0.7,108.9,25.17,90,100,2.6,ID,1696007547
240,fortuna,40.5982,-124.1573,14.99,95,75,3.09,US,1696007547
241,sisimiut,66.9395,-53.6735,2.62,82,98,0.73,GL,1696007547
242,oum hadjer,13.2954,19.6966,30.46,50,62,3.04,TD,1696007547
243,namtsy,62.7161,129.6658,-2.97,73,58,1.86,RU,1696007547
244,polyarnyy,69.1989,33.4478,10.42,91,100,6.08,RU,1696007547
245,yatou,37.15,122.3833,17.33,72,86,3.02,CN,1696007547
246,inhambane,-23.865,35.3833,24.99,88,0,5.66,MZ,1696007548
247,ariquemes,-9.9133,-63.0408,41.5,25,66,1.12,BR,1696007548
248,koh kong,11.6175,102.9806,26.48,84,89,1.76,KH,1696007548
249,muang xay,20.7,101.9833,21.12,97,100,0.64,LA,1696007548
250,vadso,70.0744,29.7487,10.49,93,75,1.54,NO,1696007548
251,nemuro,43.3236,145.575,14.87,78,28,3.34,JP,1696007548
252,kavieng,-2.5744,150.7967,26.56,81,88,2.14,PG,1696007548
253,vilyuysk,63.7553,121.6247,0.79,57,100,2.77,RU,1696007548
254,kyzyl-suu,42.3414,78.0056,9.85,79,100,1.42,KG,1696007548
255,forde,61.4522,5.8572,13.41,93,75,3.6,NO,1696007548
256,road town,18.4167,-64.6167,33.02,66,40,3.6,VG,1696007549
257,cox's bazar,21.4532,91.9798,25.75,91,100,4.7,BD,1696007549
258,guarapari,-20.6667,-40.4975,22.16,74,83,3.84,BR,1696007549
259,la ronge,55.1001,-105.2842,12.14,76,75,2.06,CA,1696007549
260,brisas de zicatela,15.8369,-97.0419,31.29,62,0,2.06,MX,1696007549
261,pandan,14.0453,124.1694,26.94,87,68,1.41,PH,1696007549
262,udachny,66.4167,112.4,0.25,92,100,6.28,RU,1696007549
263,safi,32.1667,-8.8333,30.5,31,0,6.59,MA,1696007549
264,puttalam,8.0362,79.8283,26.41,80,100,9.29,LK,1696007549
265,al jawf,29.5,38.75,30.22,13,1,3.7,SA,1696007549
266,hobyo,5.3505,48.5268,26.4,86,35,9.24,SO,1696007549
267,isla vista,34.4133,-119.861,19.35,61,100,0.0,US,1696007278
268,santa luzia,-19.7697,-43.8514,25.5,50,80,3.33,BR,1696007549
269,lorengau,-2.0226,147.2712,27.09,84,87,3.76,PG,1696007550
270,tome acu,-2.4189,-48.1522,39.96,21,9,2.34,BR,1696007334
271,uturoa,-16.7333,-151.4333,25.66,80,96,9.27,PF,1696007550
272,weno,7.4515,151.8468,27.97,78,97,3.76,FM,1696007550
273,gadzhiyevo,69.2551,33.3362,10.29,91,100,6.07,RU,1696007550
274,ciudad lazaro cardenas,17.9583,-102.2,31.03,71,31,2.31,MX,1696007550
275,east london,-33.0153,27.9116,22.52,78,0,2.06,ZA,1696007550
276,san francisco,37.7749,-122.4194,21.95,85,75,9.77,US,1696007514
277,yemva,62.59,50.8594,9.48,93,100,1.79,RU,1696007550
278,kill devil hills,36.0307,-75.676,22.21,91,100,5.66,US,1696007550
279,taltal,-25.4,-70.4833,17.93,68,18,3.65,CL,1696007550
280,tobruk,32.0836,23.9764,24.53,73,0,5.5,LY,1696007550
281,tamanrasset,22.785,5.5228,27.95,21,40,2.57,DZ,1696007550
282,rawlins,41.7911,-107.2387,19.08,25,0,2.06,US,1696007551
283,el bosque,17.0667,-92.7333,22.78,64,85,1.9,MX,1696007551
284,madang,-5.2246,145.7966,25.09,91,97,0.75,PG,1696007551
285,san pedro de uraba,8.2752,-76.3764,31.68,62,38,0.96,CO,1696007551
286,hoshangabad,22.75,77.7167,26.11,69,89,1.05,IN,1696007551
287,port douglas,-16.4833,145.4667,22.76,74,87,7.87,AU,1696007433
288,remire-montjoly,4.9167,-52.2667,33.02,55,40,5.14,GF,1696007551
289,dhanera,24.5167,72.0167,28.91,51,2,2.99,IN,1696007551
290,isiro,2.7739,27.616,20.87,98,91,1.37,CD,1696007551
291,laela,-8.5667,32.05,24.71,29,65,0.78,TZ,1696007362
292,mushie,-3.0167,16.9,29.73,53,82,2.73,CD,1696007551
293,coari,-4.085,-63.1414,38.16,29,36,2.74,BR,1696007552
294,ebon,4.582,168.6964,27.08,85,100,8.15,MH,1696007552
295,lebu,-37.6167,-73.65,13.46,65,0,7.37,CL,1696007552
296,impfondo,1.6381,18.0667,23.46,91,100,1.48,CG,1696007552
297,zhosaly,45.4878,64.0781,18.21,34,78,2.57,KZ,1696007552
298,ar ruseris,11.8659,34.3869,26.65,74,48,2.52,SD,1696007552
299,ishigaki,24.3448,124.1572,28.52,81,12,4.66,JP,1696007552
300,banda aceh,5.5577,95.3222,26.62,84,91,3.09,ID,1696007408
301,batouri,4.4333,14.3667,21.92,86,86,0.87,CM,1696007552
302,masuguru,-11.3667,38.4167,28.77,49,84,3.57,TZ,1696007552
303,waingapu,-9.6567,120.2641,24.46,77,79,1.89,ID,1696007552
304,prieska,-29.6641,22.7474,26.43,10,47,3.72,ZA,1696007552
305,sandwip,22.4678,91.4561,27.53,86,100,7.67,BD,1696007552
306,kuqa,41.7278,82.9364,19.52,29,100,0.84,CN,1696007552
307,bakal,54.9417,58.8083,7.16,98,100,1.15,RU,1696007553
308,luis correia,-2.8792,-41.6669,32.0,58,0,7.72,BR,1696007553
309,thaba-tseka,-29.522,28.6084,15.36,29,0,3.55,LS,1696007553
310,puerto san jose,13.9256,-90.8244,29.38,71,100,1.6,GT,1696007553
311,winnemucca,40.973,-117.7357,15.03,31,0,2.06,US,1696007553
312,praia da vitoria,38.7333,-27.0667,24.14,83,40,7.2,PT,1696007553
313,howard springs,-12.497,131.047,26.95,66,81,0.86,AU,1696007553
314,northam,51.0333,-4.2167,15.37,84,68,4.77,GB,1696007553
315,north tamworth,-31.0778,150.9261,11.06,76,0,2.06,AU,1696007553
316,neiafu,-18.65,-173.9833,22.38,94,100,2.57,TO,1696007553
317,carutapera,-1.195,-46.02,32.16,52,4,4.8,BR,1696007553
318,isabela,6.7085,121.9711,26.3,84,62,1.89,PH,1696007554
319,pocone,-16.2567,-56.6228,43.57,21,11,0.47,BR,1696007443
320,new norfolk,-42.7826,147.0587,8.17,98,61,1.35,AU,1696007554
321,sitia,35.2,26.0986,24.43,76,34,3.17,GR,1696007554
322,port saint john's,-31.6229,29.5448,22.09,77,0,4.2,ZA,1696007554
323,saint-pierre,-21.3393,55.4781,22.82,68,0,1.54,RE,1696007554
324,alvaraes,-3.2208,-64.8042,34.93,23,21,1.85,BR,1696007554
325,revda,56.801,59.9303,9.11,96,99,0.94,RU,1696007554
326,midvagur,62.0511,-7.1939,11.46,93,100,7.72,FO,1696007554
327,port alfred,-33.5906,26.891,21.21,79,19,0.45,ZA,1696007554
328,kitimat,54.0524,-128.6534,10.38,63,26,0.89,CA,1696007555
329,muscat,23.6139,58.5922,31.43,41,0,3.29,OM,1696007555
330,siavonga,-16.5382,28.7088,29.68,43,39,0.17,ZM,1696007555
331,vallenar,-28.5708,-70.7581,27.05,20,69,3.26,CL,1696007555
332,barra do corda,-5.5,-45.25,40.48,20,73,2.66,BR,1696007555
333,tsengel,49.4783,100.8894,2.89,78,0,1.24,MN,1696007555
334,caacupe,-25.3833,-57.15,27.25,31,84,0.71,PY,1696007555
335,san fernando,15.0286,120.6898,27.85,91,99,1.4,PH,1696007273
336,canguaretama,-6.38,-35.1289,30.02,54,53,6.32,BR,1696007555
337,arraial do cabo,-22.9661,-42.0278,21.92,73,75,6.17,BR,1696007555
338,marshall,34.3834,-86.3333,26.17,53,0,0.0,US,1696007556
339,hadibu,12.65,54.0333,27.02,82,55,1.21,YE,1696007556
340,bani walid,31.7566,13.9942,26.3,42,52,5.79,LY,1696007556
341,dauphin,51.1494,-100.0502,15.08,63,0,3.6,CA,1696007556
342,muromtsevo,56.3724,75.2418,7.29,86,39,1.81,RU,1696007556
343,fraga,41.5229,0.3489,31.62,35,2,1.0,ES,1696007556
344,sarmiento,-45.5882,-69.07,13.69,39,1,4.04,AR,1696007556
345,anan,33.9167,134.65,23.68,67,33,1.12,JP,1696007556
346,ciutadella,40.0011,3.8414,25.45,75,0,3.83,ES,1696007556
347,north platte,41.1239,-100.7654,21.94,60,0,4.12,US,1696007556
348,sinabang,2.4803,96.3801,26.72,80,98,3.26,ID,1696007556
349,fisterra,42.9049,-9.2629,25.97,92,12,4.74,ES,1696007556
350,lichinga,-13.3128,35.2406,21.05,60,0,2.06,MZ,1696007556
351,matoury,4.8483,-52.3317,32.98,55,40,5.14,GF,1696007557
352,mil'kovo,55.6078,37.7956,18.92,63,64,2.9,RU,1696007557
353,vilyuchinsk,52.9306,158.4028,5.24,73,92,0.71,RU,1696007557
354,whitehorse,60.7161,-135.0538,5.43,95,100,1.03,CA,1696007557
355,susanville,40.4163,-120.653,16.73,44,0,1.79,US,1696007557
356,yeppoon,-23.1333,150.7333,18.88,86,3,3.14,AU,1696007557
357,ta`u,-14.2336,-169.5144,26.75,78,76,4.16,AS,1696007557
358,aginskoye,51.1,114.53,6.98,72,99,2.28,RU,1696007557
359,kargopol',61.5071,38.9456,13.17,78,91,3.05,RU,1696007441
360,valle nacional,17.7833,-96.3167,32.26,51,27,1.99,MX,1696007557
361,thinadhoo,0.5333,72.9333,28.42,74,13,6.44,MV,1696007557
362,doume,4.2333,13.45,22.34,85,92,0.71,CM,1696007557
363,bengkulu,-3.8004,102.2655,22.41,95,86,1.2,ID,1696007558
